N: 100
H: 20.000000
W: 20.000000
Separation: 0.050000
Separation Strength: 0.010000
Alignment Strength: 0.100000
Cohesion Strength: 0.010000
Max Velocity: 5.000000
Final Time: 0.005000
Delta t: 0.001000
Frame Delta t: 0.001000
Filename: 04-27-2022_15-43-41.out
#,vX,vY,pX,pY


t = 0.000000
38,1.613210,1.515400,8.369890,2.579804 
39,1.732075,-1.655432,7.448325,8.596408 
40,0.238762,-0.444521,8.740192,4.056580 
41,-0.658327,-1.037027,15.298902,4.455570 
42,1.768231,-1.831912,1.870486,6.027940 
43,2.577202,-2.009665,0.866659,13.442337 
44,0.759825,0.060226,18.915528,19.999992 
45,-4.517667,-1.518644,16.616997,7.566008 
46,0.271849,-0.027431,9.045952,6.199854 
47,0.552431,-2.836654,9.358818,6.199820 
48,0.165883,0.724048,6.816174,12.655106 
49,-0.819696,-1.984314,1.514743,10.089790 
50,0.187487,-0.297125,7.869106,10.874084 
51,1.060673,-2.628128,19.888192,11.368470 
52,-1.096968,1.807141,19.662086,15.680566 
53,-1.088731,1.281573,6.879911,14.150756 
54,-1.298541,0.362892,15.118343,10.012355 
55,-3.056891,3.762280,7.731577,4.996052 
56,3.748007,-1.873182,11.078057,19.198312 
57,2.472026,-2.340795,18.856941,12.681455 
58,3.937894,-2.651832,14.123117,17.115411 
59,0.170610,0.767287,1.577015,16.018297 
60,3.066586,4.208404,1.006853,9.486984 
61,3.261686,-0.189652,8.493621,6.346590 
62,2.930274,3.043044,14.946040,8.901502 
63,-0.330563,0.318443,10.762954,1.624857 
64,3.742090,2.716474,13.678879,10.173063 
65,-1.266253,4.509072,18.064499,10.236456 
66,0.561317,0.818013,14.534703,15.122310 
67,-2.775641,2.008866,7.031476,12.242785 
68,-1.362973,-2.428694,17.704736,19.944310 
69,0.586434,0.937398,0.652627,5.316270 
70,0.421479,-0.006423,3.415835,8.675106 
71,4.238931,0.703681,10.836282,17.663232 
72,-2.554846,-1.570798,12.165671,0.663311 
73,-0.571316,-0.374165,0.608028,13.285191 
74,-3.612553,2.801834,6.755505,18.361010 
75,-1.209099,3.184058,0.967274,6.383234 
76,-0.465032,0.066210,19.601845,8.735407 
77,2.145125,0.255445,7.411342,1.959886 
78,1.330480,-1.448195,17.746681,7.159787 
79,-3.355126,-0.794071,13.190749,5.236024 
80,0.099515,-1.272631,4.988449,16.656782 
81,-0.676715,-0.547663,17.202329,4.204097 
82,2.308407,-0.475100,10.180346,15.051640 
83,-1.074436,1.149055,6.579764,7.642737 
84,0.336632,-0.522415,16.220976,10.296146 
85,-3.515159,0.093052,3.175983,18.172210 
86,0.089912,-1.844594,6.086435,14.865229 
87,0.397791,-4.361573,7.123519,7.572849 
88,0.398506,-0.597786,11.834621,6.076828 
89,0.190449,1.797019,4.233285,16.681017 
90,0.975360,1.831990,16.594201,8.584006 
91,-1.340251,3.078109,14.455088,9.557824 
92,4.233230,1.468009,19.832257,0.735187 
93,-2.245785,1.691966,12.396699,11.664770 
94,1.149888,1.960566,1.678205,6.545650 
95,3.578133,1.210959,19.976891,3.977127 
96,3.329455,2.901568,2.563479,10.529410 
97,-3.801684,-2.481369,18.460016,16.529578 
98,0.290886,-2.605705,5.895550,10.037259 
99,-3.360365,0.952787,2.978272,12.591425 


t = 0.004000
0,2.546199,1.125325,3.882535,6.424211 
1,-3.848398,-1.192334,7.601853,3.740800 
2,-0.456107,-1.869585,0.765605,9.643583 
3,0.686722,0.231454,0.690070,12.954511 
4,3.303751,3.950570,6.886811,19.778594 
5,0.533254,3.977209,2.610316,8.957394 
6,2.363478,0.643148,0.395827,19.679274 
7,-0.374055,1.296711,11.136075,16.495211 
8,0.512599,-0.547739,18.879579,13.977858 
9,-3.059060,1.258137,14.808787,3.818667 
10,0.565988,-0.108923,5.502826,1.506220 
11,-2.542500,-2.041839,16.429044,2.639761 
12,-1.366723,-4.251416,8.742782,7.393075 
13,-2.351398,3.427354,3.398523,14.278627 
14,0.973625,1.208210,16.440635,11.336691 
15,-0.282486,-3.701221,14.228117,4.564034 
16,4.049305,3.516477,0.447295,5.455790 
17,-0.973361,-1.087579,12.500231,18.758164 
18,1.381723,-0.506251,6.583190,2.017726 
19,-1.084724,0.751225,9.445688,8.099442 
